CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,CN_T1,CN_T2,CN_T3,CN_T4,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
12,022,Coyuca de Cataln,12022,335002.2930000000,256836.68700000000535510,238998.26800000001094304,235518.62400000001071021,218676.00000000000000000,215469.70000300000538118,0.76667142991764536,0.71342278245241741,0.70303585653367451,0.65275971111039532,0.64318873185444136
12,073,Zirndaro,12073,213969.1890000000,162482.39799999998649582,145505.35699999998905696,145225.32300000000395812,144473.19399999998859130,141127.57913599998573773,0.75937287400757492,0.68002948312338551,0.67872072459927857,0.67520559700770744,0.65956963147624015
12,068,La Unin de Isidoro Montes de Oca,12068,175679.5400000000,153985.28099999998812564,133571.07099999999627471,97810.30199999999604188,133820.01300000000628643,132968.45731999998679385,0.87651231896440518,0.76031091042246579,0.55675408758470102,0.76172793371385195,0.75688072338987211
12,037,Ixcateopan de Cuauhtmoc,12037,21193.8114717983,17155.33499999999912689,14653.69499999999970896,14536.74400000000059663,15854.45399999999972351,15851.87094500000057451,0.80945020308536153,0.69141386010246653,0.68589569268101802,0.74806997415716581,0.74794809636262960
12,047,Pedro Ascencio Alquisiras,12047,29452.2945388338,13377.49300000000039290,10879.30999999999949068,10306.60499999999956344,13891.01699999999982538,13881.87079799999992247,0.45420885569242642,0.36938751870946007,0.34994234443806777,0.47164464492517705,0.47133410198978914
12,049,Pilcaya,12049,16265.8480892459,8196.48999999999978172,7489.77099999999973079,7272.29600000000027649,8205.83499999999912689,8202.76743166000051133,0.50390793981526705,0.46045991324312391,0.44708987567688213,0.50448245643122991,0.50429386692005485
12,060,Tetipac,12060,21608.4391841616,14672.15799999999944703,12836.71700000000055297,10794.03600000000005821,15194.30999999999949068,15295.05123570000068867,0.67900128625459877,0.59406035255933543,0.49952872153356337,0.70316554890910477,0.70782767350040054
12,055,Taxco de Alarcn,12055,64791.0573422890,41944.86299999999755528,39271.94200000000273576,39057.81599999999889405,44150.84599999999772990,44330.72693509999953676,0.64738661044543044,0.60613213629973095,0.60282726663432662,0.68143425668688418,0.68421058018705028
12,015,Buenavista de Cullar,12015,30367.2201941587,23391.33000000000174623,21337.32600000000093132,21259.58099999999831198,22361.71900000000096043,22361.02313470000080997,0.77028222703438132,0.70264337214851003,0.70008321025344933,0.73637688458232331,0.73635396956752941
12,050,Pungarabato,12050,12645.3166504670,5710.30500000000029104,3716.46500000000014552,3022.83399999999983265,2874.19999999999981810,2873.08124125999984244,0.45157469423979307,0.29390050899696119,0.23904771098700517,0.22729363601138874,0.22720516383066572
12,038,Zihuatanejo de Azueta,12038,147105.4570000000,134201.27299999998649582,117118.08699999999953434,93456.30000000000291038,99201.64100000000325963,97196.38078019999375101,0.91227936567981971,0.79615052621739246,0.63530138110376155,0.67435731497030738,0.66072586811106537
12,001,Acapulco de Jurez,12001,172997.0850000000,132575.55100000000675209,118807.92200000000593718,85557.35899999999674037,98243.36299999999755528,98130.59264289999555331,0.76634557744137721,0.68676256597040353,0.49455954127781981,0.56789027976974293,0.56723841701089939
16,108,Zamora,16108,33489.6794127319,13369.17400000000088767,13195.60200000000077125,12886.58100000000013097,12656.67499999999927240,12675.85596280000027036,0.39920280619101389,0.39401995574145082,0.38479260554225725,0.37792762492639037,0.37850036742904652
16,085,Tanganccuaro,16085,38361.4665215276,15157.49400000000059663,16675.47999999999956344,15807.55299999999988358,15807.55400000000008731,15679.77497249999942142,0.39512290260055494,0.43469349615823710,0.41206852691956269,0.41206855298738782,0.40873763164661231
16,052,Lzaro Crdenas,16052,114744.5830000000,93443.39299999999639113,82905.08699999999953434,82503.94899999999324791,73496.14500000000407454,73391.15124069999728817,0.81435995109241888,0.72251852621225698,0.71902260518912686,0.64051951803249840,0.63960449654255136
16,008,Aquila,16008,226216.1920000000,204295.07699999999022111,190624.15599999998812564,186702.22200000000884756,182915.27199999999720603,182871.78974599999492057,0.90309661387987639,0.84266362330066980,0.82532651774104659,0.80858611571005490,0.80839390022974122
16,010,Arteaga,16010,342258.8190000000,326330.69900000002235174,307338.30599999998230487,310500.87400000001071021,304125.02000000001862645,304393.51447300001746044,0.95346176894276025,0.89797045083592120,0.90721073282263620,0.88858198274797418,0.88936646062873259
16,096,Tumbiscato,16096,205787.0900000000,197729.07600000000093132,185326.90100000001257285,188063.61199999999371357,186828.79399999999441206,186822.52992400000221096,0.96084295666943931,0.90057593505987188,0.91387468475306199,0.90787422087556613,0.90784378127899090
16,077,San Lucas,16077,46682.2463101908,27619.15199999999822467,22834.06000000000130967,23011.29699999999866122,20947.70400000000154250,20771.05420270000104210,0.59164145222314846,0.48913798723981483,0.49293465543830528,0.44872956328639840,0.44494547380350996
16,014,Coahuayana,16014,36765.8087899364,19674.77000000000043656,17817.16500000000087311,17482.86799999999857391,15448.61599999999998545,15381.71105600000009872,0.53513769035826053,0.48461235007230263,0.47551974444216327,0.42018974989144314,0.41836999000577696
16,038,Huetamo,16038,205091.8220000000,142253.89400000000023283,127724.51799999999639113,125030.16099999999278225,122402.97800000000279397,122465.19684699999925215,0.69361075742942113,0.62276748411743110,0.60963016360545086,0.59682037443696812,0.59712374512426936
16,029,Churumuco,16029,110277.8200000000,72963.27199999999720603,66797.62399999999615829,66086.47800000000279397,69291.03299999999580905,70280.58071569999447092,0.66163143232247423,0.60572129554247622,0.59927261891829198,0.62833154482016407,0.63730477004079322
16,026,Chinicuila,16026,101732.3650000000,91029.39800000000104774,81364.80700000000069849,75480.17500000000291038,69805.72900000000663567,69792.24413679999997839,0.89479290096126241,0.79979274049118976,0.74194849397239515,0.68617031561194908,0.68603776327032207
16,015,Coalcomn de Vzquez Pallares,16015,281275.1800000000,262191.54300000000512227,249941.69899999999324791,253415.52700000000186265,247778.58499999999185093,247476.43272000001161359,0.93215314269819327,0.88860204089105910,0.90095232362841260,0.88091165740254795,0.87983743435876571
16,002,Aguililla,16002,139139.4440000000,120257.36999999999534339,109570.53100000000267755,110858.46199999999953434,105145.28500000000349246,105092.22276699999929406,0.86429388060512879,0.78748719881329998,0.79674360348888562,0.75568280264221854,0.75530144253702791
16,035,La Huacana,16035,194583.2430000000,146045.25000000000000000,133192.88599999999860302,134217.39999999999417923,133532.34799999999813735,134563.71064100001240149,0.75055409576044541,0.68450337216344992,0.68976854291610301,0.68624793143158791,0.69154829864255074
16,055,Mgica,16055,37667.3799161897,11660.73199999999997090,8406.44800000000032014,7958.74499999999989086,7572.64900000000034197,7559.73945923999963270,0.30957109376721309,0.22317580937947987,0.21129011409097975,0.20103997190272382,0.20069724722187995
16,097,Turicato,16097,153929.1590000000,105566.40600000000267755,92178.16999999999825377,92505.00199999999313150,97087.70900000000256114,96906.20402659999672323,0.68581162065596679,0.59883501344927115,0.60095827587806150,0.63072980863879069,0.62955066250053371
16,013,Carcuaro,16013,91494.3992760544,74422.38599999999860302,67012.77499999999417923,64582.55799999999726424,64915.94799999999668216,64164.60763459999725455,0.81340919869264139,0.73242488644371417,0.70586351198550701,0.70950734158204998,0.70129546881885407
16,089,Tepalcatepec,16089,79575.4759466497,44118.46699999999691499,39647.17300000000250293,34682.48200000000360887,32350.67499999999927240,30607.76942160000180593,0.55442291076686268,0.49823356415211278,0.43584385248606494,0.40654076667652067,0.38463821997270320
16,006,Apatzingn,16006,163126.2020000000,112416.41800000000512227,99588.39699999999720603,100754.05199999999604188,100332.49000000000523869,100164.12383799999952316,0.68913771436914839,0.61049908462896718,0.61764480975288083,0.61506054067267513,0.61402841854921630
16,064,Parcuaro,16064,49959.8083754157,17425.56699999999909778,10847.63500000000021828,12451.48600000000078580,12295.40899999999965075,12332.12163119999968330,0.34879171010941667,0.21712723392545921,0.24923005921950550,0.24610600800563406,0.24684085132056691
16,057,Nocuptaro,16057,54150.2793971727,45464.11499999999796273,40838.48900000000139698,39668.96699999999691499,40724.87500000000000000,40514.25160869999672286,0.83959151284404587,0.75416949745474937,0.73257178802425893,0.75207137346970609,0.74818176489067811
16,059,Nuevo Urecho,16059,33080.6858621276,22389.74799999999959255,20327.44700000000011642,18404.04899999999906868,18466.97100000000136788,17680.89928670000153943,0.67682236375978189,0.61448082076411437,0.55633819312887534,0.55824026977451224,0.53447801416179130
