CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,1976,1993,2002,2011,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
16,96,Tumbiscato,16096,205787.09,197729.076,185326.901,188063.612,186828.794,186822.529924,0.9608429567,0.9005759351,0.9138746848,0.9078742209,0.9078437813
16,77,San Lucas,16077,46682.2463101908,27619.152,22834.06,23011.297,20947.704,20771.0542027,0.5916414522,0.4891379872,0.4929346554,0.4487295633,0.4449454738
16,14,Coahuayana,16014,36765.8087899364,19674.77,17817.165,17482.868,15448.616,15381.711056,0.5351376904,0.4846123501,0.4755197444,0.4201897499,0.41836999
16,38,Huetamo,16038,205091.822,142253.894,127724.518,125030.161,122402.978,122465.196847,0.6936107574,0.6227674841,0.6096301636,0.5968203744,0.5971237451
16,29,Churumuco,16029,110277.82,72963.272,66797.624,66086.478,69291.033,70280.5807157,0.6616314323,0.6057212955,0.5992726189,0.6283315448,0.63730477
16,26,Chinicuila,16026,101732.365,91029.398,81364.807,75480.175,69805.729,69792.2441368,0.894792901,0.7997927405,0.741948494,0.6861703156,0.6860377633
16,15,Coalcomn de Vzquez Pallares,16015,281275.18,262191.543,249941.699,253415.527,247778.585,247476.43272,0.9321531427,0.8886020409,0.9009523236,0.8809116574,0.8798374344
16,2,Aguililla,16002,139139.444,120257.37,109570.531,110858.462,105145.285,105092.222767,0.8642938806,0.7874871988,0.7967436035,0.7556828026,0.7553014425
16,35,La Huacana,16035,194583.243,146045.25,133192.886,134217.4,133532.348,134563.710641,0.7505540958,0.6845033722,0.6897685429,0.6862479314,0.6915482986
16,55,Mgica,16055,37667.3799161897,11660.732,8406.448,7958.745,7572.649,7559.73945924,0.3095710938,0.2231758094,0.2112901141,0.2010399719,0.2006972472
16,97,Turicato,16097,153929.159,105566.406,92178.17,92505.002,97087.709,96906.2040266,0.6858116207,0.5988350134,0.6009582759,0.6307298086,0.6295506625
16,13,Carcuaro,16013,91494.3992760544,74422.386,67012.775,64582.558,64915.948,64164.6076346,0.8134091987,0.7324248864,0.705863512,0.7095073416,0.7012954688
16,89,Tepalcatepec,16089,79575.4759466497,44118.467,39647.173,34682.482,32350.675,30607.7694216,0.5544229108,0.4982335642,0.4358438525,0.4065407667,0.38463822
16,6,Apatzingn,16006,163126.202,112416.418,99588.397,100754.052,100332.49,100164.123838,0.6891377144,0.6104990846,0.6176448098,0.6150605407,0.6140284185
16,64,Parcuaro,16064,49959.8083754157,17425.567,10847.635,12451.486,12295.409,12332.1216312,0.3487917101,0.2171272339,0.2492300592,0.246106008,0.2468408513
16,57,Nocuptaro,16057,54150.2793971727,45464.115,40838.489,39668.967,40724.875,40514.2516087,0.8395915128,0.7541694975,0.732571788,0.7520713735,0.7481817649
16,59,Nuevo Urecho,16059,33080.6858621276,22389.748,20327.447,18404.049,18466.971,17680.8992867,0.6768223638,0.6144808208,0.5563381931,0.5582402698,0.5344780142
16,33,Gabriel Zamora,16033,36570.6195943538,22191.948,18209.913,18809.851,18731.051,18612.6402935,0.6068245014,0.4979383232,0.5143432408,0.5121885056,0.5089506413
16,9,Ario,16009,69099.0700557318,37791.671,34308.545,32794.504,32684.205,31271.6040401,0.5469201101,0.4965123984,0.4746012352,0.4730049909,0.4525618654
16,81,Susupuato,16081,26573.9948018818,18165.224,12459.115,14960.965,16131.242,15765.2810461,0.683571444,0.4688461442,0.5629926969,0.6070311265,0.5932597324
16,92,Tiquicheo de Nicols Romero,16092,148611.302,117960.51,108045.821,112338.511,115874.808,114815.752316,0.7937519449,0.7270363663,0.7559217199,0.7797173327,0.7725909858
16,46,Jurez,16046,14106.8925425356,8099.52,7087.19,6505.972,7046.074,7052.6308452,0.5741533775,0.502392003,0.4611910086,0.4994773993,0.4999421966
16,87,Taretan,16087,18302.9254526838,12776.849,10918.929,9514.816,9532.34,9511.94293793,0.6980768748,0.5965674191,0.5198521966,0.5208096391,0.5196952237
16,12,Buenavista,16012,91577.1202674893,44694.782,43717.378,40906.698,38980.877,38775.7601586,0.4880562074,0.4773831921,0.4466912465,0.425661747,0.4234219207
16,82,Tacmbaro,16082,78291.0898952774,43392.862,36794.549,36370.536,35064.054,35020.9397301,0.5542503248,0.4699710918,0.4645552393,0.4478677465,0.4473170546
16,99,Tuzantla,16099,101375.122,80336.937,71802.591,76497.91,80278.101,80172.9895185,0.7924719144,0.7082861119,0.7546023964,0.7918915353,0.7908546785
16,79,Salvador Escalante,16079,48313.3316154843,15498.266,15759.61,16178.843,14241.647,14143.7170278,0.32078653,0.3261958858,0.3348732629,0.2947767526,0.2927497764
16,111,Ziracuaretiro,16111,15886.4467223976,11552.476,10711.299,7922.93,7316.503,7321.17719644,0.7271906803,0.6742413321,0.4987225991,0.4605499976,0.460844223
16,58,Nuevo Parangaricutiro,16058,23253.0858838545,15906.969,14559.268,13058.68,12432.108,12341.01694,0.6840799144,0.6261219725,0.5615891183,0.5346433614,0.5307259863
16,83,Tanctaro,16083,71006.0687940654,41164.588,33126.813,28073.247,28073.247,28008.3925028,0.5797333763,0.4665349535,0.3953640509,0.3953640509,0.3944506854
16,47,Jungapeo,16047,26352.1221392888,18718.034,16214.51,15924.178,18944.352,18943.4174827,0.7103046161,0.6153018688,0.6042844639,0.7188928429,0.7188573802
16,49,Madero,16049,101581.22,93990.459,91635.067,90677.928,91446.619,91691.9154462,0.9252739729,0.9020866948,0.8926642937,0.9002315487,0.9026463302
16,1,Acuitzio,16001,17511.0702742083,9324.426,7669.852,8890.443,8222.42,7888.35944494,0.5324874981,0.4380001839,0.5077041472,0.4695555367,0.45047843
16,112,Zitcuaro,16112,50805.2530183994,27688.411,25517.553,25436.995,24844.705,25167.9695667,0.5449911053,0.5022620986,0.5006764751,0.4890184287,0.4953812465
16,39,Huiramba,16039,7924.9339385383,3144.751,3335.149,3252.605,2467.126,2476.02321043,0.3968173141,0.4208424986,0.4104267651,0.3113118695,0.3124345552
16,66,Ptzcuaro,16066,43639.7037248861,19873.828,20399.961,21269.289,19498.153,19522.1126804,0.4554070331,0.4674633249,0.4873839001,0.4467984733,0.4473475073
16,68,Peribn,16068,33019.6709266485,12286.278,9090.408,8569.667,8569.667,8500.09601656,0.3720896561,0.2753028042,0.2595321746,0.2595321746,0.2574252189
16,90,Tingambato,16090,18853.9797256276,11025.126,10527.368,10540.123,8986.948,8971.15246635,0.5847638621,0.558363176,0.559039691,0.4766605317,0.4758227492
16,102,Uruapan,16102,101152.846,66059.629,61156.123,58092.624,58114.355,57724.5625037,0.6530674283,0.6045912243,0.5743053834,0.5745202167,0.5706667166
16,48,Lagunillas,16048,7219.9394301535,3072.399,2999.29,3116.544,2885.405,2760.53809027,0.4255435977,0.4154176124,0.4316579149,0.3996439344,0.3823492035
16,61,Ocampo,16061,14172.6571656483,8044.272,8045.073,8144.753,7825.153,7871.27559633,0.5675909539,0.5676474712,0.5746807324,0.5521302681,0.5553846046
16,98,Tuxpan,16098,24134.3782934855,13040.731,12783.983,13525.247,14092.287,14074.8894746,0.5403383854,0.5297001168,0.560414146,0.5839092612,0.5831884005
16,100,Tzintzuntzan,16100,18355.2884726926,8048.499,7854.33,7594.442,7404.7,7363.89758315,0.4384839286,0.4279055604,0.4137468072,0.4034096228,0.4011866985
16,101,Tzitzio,16101,93231.3975163457,92047.339,89907.03,89732.143,89733.017,85954.0446539,0.987299788,0.9643428329,0.9624669949,0.9624763694,0.9219431108
16,5,Angangueo,16005,7542.8590225182,3884.411,4387.287,4487.596,3875.061,3890.61361673,0.5149786027,0.5816477528,0.5949462911,0.5137390197,0.5158009191
16,7,Aporo,16007,5934.7347723335,3310.65,3106.15,3149.656,3444.114,3441.42672135,0.5578429579,0.5233848047,0.5307155451,0.5803315788,0.5798787736
